------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                                  Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                                   
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
max_pool1d_with_indices               0.03%            26.857us         0.46%            376.321us        376.321us        0.21%            376.830us        376.830us        1                []                                             
unsqueeze                             0.06%            46.157us         0.06%            51.074us         51.074us         0.03%            51.168us         51.168us         1                []                                             
as_strided                            0.01%            4.917us          0.01%            4.917us          4.917us          0.00%            5.121us          5.121us          1                []                                             
max_pool2d_with_indices               0.18%            145.851us        0.30%            243.323us        243.323us        0.14%            242.691us        242.691us        1                []                                             
empty                                 0.01%            5.924us          0.01%            5.924us          5.924us          0.00%            6.080us          6.080us          1                []                                             
empty                                 0.00%            3.637us          0.00%            3.637us          3.637us          0.00%            4.098us          4.098us          1                []                                             
size                                  0.00%            3.194us          0.00%            3.194us          3.194us          0.00%            3.070us          3.070us          1                []                                             
size                                  0.00%            2.727us          0.00%            2.727us          2.727us          0.00%            2.049us          2.049us          1                []                                             
size                                  0.00%            2.723us          0.00%            2.723us          2.723us          0.00%            3.076us          3.076us          1                []                                             
size                                  0.00%            2.656us          0.00%            2.656us          2.656us          0.00%            3.070us          3.070us          1                []                                             
contiguous                            0.01%            11.881us         0.06%            48.071us         48.071us         0.03%            62.463us         62.463us         1                []                                             
empty_like                            0.01%            7.171us          0.02%            13.933us         13.933us         0.01%            14.340us         14.340us         1                []                                             
empty                                 0.01%            6.762us          0.01%            6.762us          6.762us          0.00%            7.168us          7.168us          1                []                                             
copy_                                 0.03%            22.257us         0.03%            22.257us         22.257us         0.02%            38.910us         38.910us         1                []                                             
stride                                0.00%            3.256us          0.00%            3.256us          3.256us          0.00%            2.049us          2.049us          1                []                                             
stride                                0.00%            2.648us          0.00%            2.648us          2.648us          0.00%            2.049us          2.049us          1                []                                             
stride                                0.00%            2.720us          0.00%            2.720us          2.720us          0.00%            2.049us          2.049us          1                []                                             
